検索キー,医療機関名,正規化住所,郵便番号,電話番号,オンライン予約用ページアドレス,相談センター等からの紹介,自院患者,濃厚接触者,小児,妊婦,区市町村,行政コード,大字,それ以降の住所,ビル名・階数・部屋番号,PCR,抗原定量,抗原定性,鼻咽頭,鼻腔,唾液,その他,月（午前）,月（午後）,火（午前）,火（午後）,水（午前）,水（午後）,木（午前）,木（午後）,金（午前）,金（午後）,土（午前）,土（午後）,日（午前）,日（午後）,対応できる外国語,診療検査日時が祝日の場合,それ以降の住所
高野医院篠崎町4-12-12,高野医院,東京都江戸川区篠崎町4-12-12,133-0061,0336707550,,,1,1,,,江戸川区,13123,篠崎町,4-12-12,,,,1,1,,,,12:30~13:00,,11:30~12:00,17:30~18:00,11:30~12:00,,11:30~12:00,17:30~18:00,12:30~13:00,16:30~17:00,,,,,,,篠崎町4-12-12
医療法人社団公華会までのこうじクリニック東陽3-27-32玉河ビル2F,医療法人社団公華会までのこうじクリニック,東京都江東区東陽3-27-32玉河ビル2F,135-0016,0356835519,,,1,,1,,江東区,13108,東陽,3-27-32玉河ビル2F,,,,1,1,1,1,,10:00~11:20,16:00~17:20,10:00~11:20,16:00~17:20,,,10:00~11:20,16:00~17:20,10:00~11:20,16:00~17:20,10:00~11:20,,,,,,東陽3-27-32玉河ビル2F
ナグモ医院西糀谷4-21-16,ナグモ医院,東京都大田区西糀谷4-21-16,144-0034,03-3742-0556,,1,1,1,1,1,大田区,13111,西糀谷,4-21-16,,1,,1,1,,1,,9:00~12:00,17:00~19:00,9:00~12:00,,9:00~12:00,17:00~19:00,9:00~12:00,,9:00~12:00,17:00~19:00,9:00~12:00,17:00~19:00,,,,,西糀谷4-21-16
医療法人社団親豊会　池袋なないろクリニック西池袋1丁目16番10号　新東第一ビル6階,医療法人社団親豊会　池袋なないろクリニック,東京都豊島区西池袋1丁目16番10号　,171-0021,03-6914-0753,https://www.489map.com/helios/A7966020/reserve,1,1,1,1,1,豊島区,13116,西池袋,1丁目16番10号　,新東第一ビル6階,1,1,,1,,1,,10:00~14:00,16:00~22:00,10:00~14:00,16:00~22:00,10:00~14:00,16:00~22:00,10:00~14:00,16:00~22:00,10:00~14:00,16:00~22:00,10:00~14:00,16:00~19:00,10:00~14:00,16:00~19:00,英語,1,西池袋1丁目16番10号　新東第一ビル6階
イムス板橋リハビリテーション病院小豆沢3-11-1,イムス板橋リハビリテーション病院,東京都板橋区小豆沢3-11-1,174-0051,03-3967-1183,,1,1,,,,板橋区,13119,小豆沢,3-11-1,,,,1,1,,,,9:00~11:00,15:10~17:10,,,,,9:00~11:00,15:10~17:10,9:00~11:00,15:10~17:10,,,,,,,小豆沢3-11-1
クリニック・パーク栄町1-2-1-2F,クリニック・パーク,東京都東村山市栄町1-2-1-2F,189-0013,042-306-1138,https://clinic-park.com,1,1,1,1,1,東村山市,13213,栄町,1-2-1-2F,,1,,1,,,1,,,13:00~15:00,,13:00~15:00,,13:00~15:00,,13:00~15:00,,13:00~15:00,,13:00~15:00,,,英語,,栄町1-2-1-2F
耳鼻咽喉科ヒロ医院高田馬場3-2-5ANビル7階,耳鼻咽喉科ヒロ医院,東京都新宿区高田馬場3-2-5ANビル7階,169-0075,03-3369-3033,,1,1,,1,1,新宿区,13104,高田馬場,3-2-5ANビル7階,,1,,1,1,,,,11:30~12:30,16:50~17:30,11:30~12:30,16:50~17:30,,,11:30~12:30,16:50~17:30,11:30~12:30,16:50~17:30,11:30~12:30,,,,,,高田馬場3-2-5ANビル7階
医療法人社団成和会 西新井病院附属成和クリニック西新井本町5-7-14 E.M.Sビル1階～3階,医療法人社団成和会 西新井病院附属成和クリニック,東京都足立区西新井本町5-7-14 ,123-0845,03-5888-6601,,1,1,1,,,足立区,13121,西新井本町,5-7-14 ,E.M.Sビル1階～3階,1,,1,1,,,,8:00~12:00,12:00~16:00,8:00~12:00,12:00~16:00,8:00~12:00,12:00~16:00,8:00~12:00,12:00~16:00,8:00~12:00,12:00~16:00,8:00~12:00,,,,英語 韓国語,,西新井本町5-7-14 E.M.Sビル1階～3階
平尾クリニック西五反田1-7-1-304,平尾クリニック,東京都品川区西五反田1-7-1-304,141-0031,03-5740-6612,,1,1,1,1,1,品川区,13109,西五反田,1-7-1-304,,,,1,1,1,,,9:00~12:30,14:30~18:00,9:00~12:30,14:30~18:00,9:00~12:30,14:30~18:00,9:00~12:30,14:30~18:00,9:00~12:30,14:30~18:00,9:00~12:30,,,,,,西五反田1-7-1-304
善利医院月島3-13-4,善利医院,東京都中央区月島3-13-4,104-0052,03-3531-1566,,1,1,,1,1,中央区,13102,月島,3-13-4,,,,1,1,1,1,,9:00~12:15,16:00~18:30,9:00~12:15,16:00~18:30,9:00~12:15,16:00~18:30,,,9:00~12:15,16:00~18:30,9:00~12:15,,,,,,月島3-13-4
学園クリニック学園3－59－2,学園クリニック,東京都武蔵村山市学園3－59－2,208-0011,042-564-5358,,,1,,1,1,武蔵村山市,13223,学園,3－59－2,,,,,,,,,,,9:00~12:00,16:00~19:00,9:00~12:00,16:00~19:00,9:00~12:00,,9:00~12:00,16:00~19:00,9:00~12:00,16:00~19:00,9:00~12:00,,,,学園3－59－2
"医療法人社団千実会 あきやま子どもクリニック	上連雀2丁目２番16号","医療法人社団千実会 あきやま子どもクリニック	",東京都三鷹市上連雀2丁目２番16号,181-0012,0422-70-5777,,,1,,2,,三鷹市,13204,上連雀,2丁目２番16号,,1,1,,,,,,7:30~8:00,15:30~16:45,7:30~8:00,15:30~16:45,7:30~8:00,15:30~16:45,7:30~8:30,15:30~16:45,7:30~8:30,15:30~16:45,7:30~8:00,,,,,,上連雀2丁目２番16号
"けい子レディースクリニック表参道神宮前5-45-8ノースアオヤマ2F",けい子レディースクリニック表参道,"東京都渋谷区神宮前5-45-8ノースアオヤマ2F",150-0001,0357663367,,,1,,,2,渋谷区,13113,神宮前,"5-45-8ノースアオヤマ2F",,1,,1,,1,,,,,,,,13:30~14:00,,13:30~14:00,,13:30~14:00,,,,,,,"神宮前5-45-8ノースアオヤマ2F"
さいとう内科・循環器クリニック日本橋大伝馬町13-8メディカルプライム日本橋小伝馬町3階,さいとう内科・循環器クリニック,東京都中央区日本橋大伝馬町13-8メディカルプライム日本橋小伝馬町3階,103-0011,03-3639-3110,,1,1,1,1,1,中央区,13102,日本橋大伝馬町,13-8メディカルプライム日本橋小伝馬町3階,,1,,1,,1,1,,12:30~13:30,,12:30~13:30,,12:30~13:30,,12:30~13:30,,12:30~13:30,,12:30~13:30,,,,,,日本橋大伝馬町13-8メディカルプライム日本橋小伝馬町3階
医療法人社団健診会 滝野川メディカルクリニック滝野川3-39-7,医療法人社団健診会 滝野川メディカルクリニック,東京都北区滝野川3-39-7,114-0023,03-3910-3441,,1,1,,,,北区,13117,滝野川,3-39-7,,1,,1,,1,,,,12:00~13:00,,,,12:00~13:00,,12:00~13:00,,12:00~13:00,,,,,,,滝野川3-39-7
国立研究開発法人国立成育医療研究センター大蔵２－１０－１,国立研究開発法人国立成育医療研究センター,東京都世田谷区大蔵２－１０－１,157-8535,03-3416-0181,,1,1,1,2,2,世田谷区,13112,大蔵,２－１０－１,,1,,,1,,,,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,0:00~12:00,12:00~24:00,,1,大蔵２－１０－１
中村橋耳鼻咽喉科クリニック貫井1-7-28高山ビル２階,中村橋耳鼻咽喉科クリニック,東京都練馬区貫井1-7-28高山ビル２階,176-0021,03-3926-7298,,1,1,,,,練馬区,13120,貫井,1-7-28高山ビル２階,,,,1,1,,,1,9:00~12:00,15:00~18:00,,,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,9:00~12:00,,,,基本的には外国語の対応はしておりません。,,貫井1-7-28高山ビル２階
高橋医院成城2-21-1成城２丁目ビル１階,高橋医院,東京都世田谷区成城2-21-1成城２丁目ビル１階,157-0066,03-3415-9363,,1,1,,,,世田谷区,13112,成城,2-21-1成城２丁目ビル１階,,,,1,1,,,,,,,13:00~13:30,,,,,,13:00~13:30,,,,,,,成城2-21-1成城２丁目ビル１階
おりしきみつるクリニック東大井2-19-11,おりしきみつるクリニック,東京都品川区東大井2-19-11,140-0011,03-5762-2789,,1,1,,1,1,品川区,13109,東大井,2-19-11,,,,1,1,,,,,14:00~15:00,,14:00~15:00,,,,14:00~15:00,,14:00~15:00,,,,,英語,,東大井2-19-11
さとう内科医院石神井台4-7-3 石神井台クリニックモール1階,さとう内科医院,東京都練馬区石神井台4-7-3 ,177-0045,03-5903-9613,,,1,,,,練馬区,13120,石神井台,4-7-3 ,石神井台クリニックモール1階,1,,1,1,1,1,,10:00~13:00,,10:00~13:00,,10:00~13:00,,,,10:00~13:00,,11:00~14:00,,,,日本語,,石神井台4-7-3 石神井台クリニックモール1階
医療法人社団尚仁会 中村内科クリニック大泉学園町4-22-13,医療法人社団尚仁会 中村内科クリニック,東京都練馬区大泉学園町4-22-13,178-0061,03-3867-1711,,,1,,1,,練馬区,13120,大泉学園町,4-22-13,,,,,,,,,12:00~13:00,18:00~19:00,12:00~13:00,18:00~19:00,12:00~13:00,18:00~19:00,12:00~13:00,,12:00~13:00,18:00~19:00,13:00~14:00,,,,,,大泉学園町4-22-13
医療法人ふた葉会いとう小児科花小金井南町2-21-7,医療法人ふた葉会いとう小児科,東京都小平市花小金井南町2-21-7,187-0003,042-465-2288,,,1,,2,,小平市,13211,花小金井南町,2-21-7,,1,,1,1,,1,,9:30~11:30,16:30~17:20,9:30~11:30,16:30~17:20,9:30~11:30,16:30~17:20,9:30~11:30,,9:30~11:30,16:30~17:20,9:30~11:30,,,,,,花小金井南町2-21-7
いしざき内科石神井町3-30-20コーポ田嶋1F,いしざき内科,東京都練馬区石神井町3-30-20コーポ田嶋1F,177-0041,03-6913-3925,,,1,,,,練馬区,13120,石神井町,3-30-20コーポ田嶋1F,,,,1,1,,,,,17:00~18:00,,17:00~18:00,,17:00~18:00,,17:00~18:00,,17:00~18:00,,,,,,,石神井町3-30-20コーポ田嶋1F
藤枝医院富士見町５-９-２６,藤枝医院,東京都東村山市富士見町５-９-２６,189-0024,042-391-1317,,,1,,,,東村山市,13213,富士見町,５-９-２６,,,,1,1,1,,,,16:30~17:45,,16:30~17:30,,16:30~17:30,11:00~12:00,,,,11:00~12:00,,,,,,富士見町５-９-２６
医療法人社団 小日向 うめはらこどもクリニック太子堂3-38-18 ブリリアイスト三軒茶屋ブラッサムテラス １F,医療法人社団 小日向 うめはらこどもクリニック,東京都世田谷区太子堂3-38-18 ,154-0004,03-6809-7878,,1,1,,2,,世田谷区,13112,太子堂,3-38-18 ,ブリリアイスト三軒茶屋ブラッサムテラス １F,1,,1,1,,,,9:00~12:00,15:00~18:30,9:00~12:00,15:00~18:30,9:00~12:00,15:00~18:30,,,9:00~12:00,15:00~18:30,9:00~12:00,12:00~13:00,,,,,太子堂3-38-18 ブリリアイスト三軒茶屋ブラッサムテラス １F
中村医院中延6-4-17,中村医院,東京都品川区中延6-4-17,142-0053,0337840128,,1,1,,,,品川区,13109,中延,6-4-17,,,,1,1,,,,11:00~12:00,16:30~19:30,11:00~12:00,16:30~19:30,,16:30~19:30,,16:30~19:30,,,,,,,,,中延6-4-17
ぽれぽれクリニック高輪1-5-21ルート高輪ビル4階,ぽれぽれクリニック,東京都港区高輪1-5-21ルート高輪ビル4階,108-0074,03-5422-7626,,1,1,1,2,,港区,13103,高輪,1-5-21ルート高輪ビル4階,,1,,,1,,,,8:30~12:30,,8:30~12:30,,,,8:30~12:30,,8:30~12:30,,10:30~12:30,,,,英語,,高輪1-5-21ルート高輪ビル4階
すみれクリニック片町３－２６－１４,すみれクリニック,東京都府中市片町３－２６－１４,183-0021,0424018461,https://sumireclinic.jp,,1,1,2,,府中市,13206,片町,３－２６－１４,,,,1,1,1,,,9:00~12:00,15:00~17:30,9:00~12:00,15:00~17:30,9:00~12:00,,9:00~12:00,15:00~17:30,9:00~12:00,15:00~17:30,9:00~12:00,,,,,,片町３－２６－１４
南長崎こみ山医院南長崎3-14-17,南長崎こみ山医院,東京都豊島区南長崎3-14-17,171-0052,03-3953-0086,,1,1,,1,1,豊島区,13116,南長崎,3-14-17,,,,1,1,,,,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,,,9:00~12:00,15:00~18:00,9:00~12:00,15:00~18:00,9:00~12:00,,,,なし,,南長崎3-14-17
ねや内科クリニック徳丸５－３－２２,ねや内科クリニック,東京都板橋区徳丸５－３－２２,175-0083,03-5922-5100,,,1,,,,板橋区,13119,徳丸,５－３－２２,,,,,,,,,12:00~12:30,14:30~15:00,12:00~12:30,14:30~15:00,,,12:00~12:30,14:30~15:00,12:00~12:30,14:30~15:00,,,,,英語,,徳丸５－３－２２
医療法人社団健康会 高橋医院町屋三丁目2番10号ISEビル1階2階3階地下1階,医療法人社団健康会 高橋医院,東京都荒川区町屋三丁目2番10号ISEビル1階2階3階地下1階,116-0001,03-3810-5665,,1,1,,,,荒川区,13118,町屋三丁目,2番10号ISEビル1階2階3階地下1階,,1,,,,1,1,,9:00~12:30,14:30~18:00,9:00~12:30,14:30~18:00,9:00~12:30,14:30~18:00,9:00~12:30,14:30~18:00,9:00~12:30,14:30~18:00,9:00~12:30,14:30~18:00,9:00~12:30,14:30~18:00,患者本人が日本語の読み、書き、会話が出来ない場合は診療できません。,1,町屋三丁目2番10号ISEビル1階2階3階地下1階
患者目線のクリニック銀座新橋新橋1-9-5KDX新橋駅前ビル8階,患者目線のクリニック銀座新橋,東京都港区新橋1-9-5KDX新橋駅前ビル8階,105-0004,web予約,https://k-mesen.jp/ginza-shimbashi,1,1,1,1,1,港区,13103,新橋,1-9-5KDX新橋駅前ビル8階,,1,,1,1,1,1,,9:00~13:00,14:00~18:00,9:00~13:00,14:00~18:00,9:00~13:00,14:00~18:00,9:00~13:00,14:00~18:00,9:00~13:00,14:00~18:00,,,,,英語（※事前にご相談ください）,,新橋1-9-5KDX新橋駅前ビル8階
医療法人社団翔和仁誠会あすなろクリニック宮町１－１００　ル・シーニュ4階,医療法人社団翔和仁誠会あすなろクリニック,東京都府中市宮町１－１００　,183-0023,042-354-6855,,,1,,1,1,府中市,13206,宮町,１－１００　,ル・シーニュ4階,,,,,,,,9:00~12:00,,9:00~12:00,,9:00~12:00,,9:00~12:00,,9:00~12:00,,9:00~12:00,,,,,,宮町１－１００　ル・シーニュ4階
医療法人社団 南ときわ台耳鼻咽喉科南常盤台2-14-11,医療法人社団 南ときわ台耳鼻咽喉科,東京都板橋区南常盤台2-14-11,174-0072,03-3956-3371,,1,1,1,1,,板橋区,13119,南常盤台,2-14-11,,1,,1,1,,,,11:00~12:00,,,,11:00~12:00,,11:00~12:00,,11:00~12:00,,11:00~12:00,,,,日本、英語,,南常盤台2-14-11
医療法人社団順正会ヒロオカクリニック新宿2丁目5番12号3階,医療法人社団順正会ヒロオカクリニック,東京都新宿区新宿2丁目5番12号3階,160-0022,0332251666,,1,1,,,,新宿区,13104,新宿,2丁目5番12号3階,,1,1,1,1,,1,,11:30~12:30,14:30~17:30,11:30~12:30,14:30~17:30,11:30~12:30,14:30~17:30,11:30~12:30,14:30~17:30,11:30~12:30,14:30~17:30,11:00~12:00,,,,,,新宿2丁目5番12号3階
山一ビル内科クリニック島根3-8-1 山一ビル島根Ⅱ1階,山一ビル内科クリニック,東京都足立区島根3-8-1 ,121-0815,03-3884-8888,,1,1,1,1,1,足立区,13121,島根,3-8-1 ,山一ビル島根Ⅱ1階,1,,,1,1,1,,,12:50~15:00,,13:00~15:00,,12:50~15:00,,13:00~15:00,,12:50~15:00,,,,,英語,,島根3-8-1 山一ビル島根Ⅱ1階
みなと芝クリニック芝2丁目12-1　２F,みなと芝クリニック,東京都港区芝2丁目12-1　,105-0014,03-3457-0555,,1,1,,,,港区,13103,芝,2丁目12-1　,２F,,,1,1,,,,8:00~8:30,,8:00~8:30,,,,8:00~8:30,,8:00~8:30,,8:00~8:30,,,,医師のみ英語対応可能。,,芝2丁目12-1　２F
麻布医院麻布十番1-11-1 エスティメゾン麻布十番3階,麻布医院,東京都港区麻布十番1-11-1 ,106-0045,03-5545-8177,,,1,,,,港区,13103,麻布十番,1-11-1 ,エスティメゾン麻布十番3階,1,,1,1,,1,,,13:00~14:00,,13:00~14:00,,13:00~14:00,,13:00~14:00,,13:00~14:00,,18:00~19:00,,,英語,,麻布十番1-11-1 エスティメゾン麻布十番3階
医療法人社団大南会　上野毛駅前総合クリニック上野毛2-7-16　玉屋ビル3階,医療法人社団大南会　上野毛駅前総合クリニック,東京都世田谷区上野毛2-7-16　,158-0093,03-6303-1114,,,1,,2,,世田谷区,13112,上野毛,2-7-16　,玉屋ビル3階,,,1,1,,,,,16:20~16:50,,12:30~13:00,,16:20~16:50,,12:30~13:00,,16:20~16:50,,12:15~12:30,,,,,上野毛2-7-16　玉屋ビル3階
一口坂クリニック九段北4-1-5-B1,一口坂クリニック,東京都千代田区九段北4-1-5-B1,102-0073,03-3221-1919,,,1,,,,千代田区,13101,九段北,4-1-5-B1,,,,1,1,1,,,,,,,,,,15:00~18:00,,,,,,,,,九段北4-1-5-B1
医療法人社団慈正会 副島クリニック代沢5-3-8-1F,医療法人社団慈正会 副島クリニック,東京都世田谷区代沢5-3-8-1F,155-0032,03-3421-1793,,1,1,,1,,世田谷区,13112,代沢,5-3-8-1F,,1,,,1,1,1,,10:30~12:30,15:00~17:00,10:30~12:30,15:00~17:00,10:30~12:30,15:00~17:00,,,10:30~12:30,15:00~17:00,10:00~13:00,,,,,,代沢5-3-8-1F
養命閣医院南小岩7-19-22　MKビル一階,養命閣医院,東京都江戸川区南小岩7-19-22　,133-0056,0336735333,,,1,,,,江戸川区,13123,南小岩,7-19-22　,MKビル一階,,,1,1,,,,12:30~13:00,18:30~19:00,12:30~13:00,18:30~19:00,12:30~13:00,18:30~19:00,,,12:30~13:00,18:30~19:00,12:30~13:00,,,,日本語のみ,,南小岩7-19-22　MKビル一階
細部小児科クリニック根津2-14-11-2F,細部小児科クリニック,東京都文京区根津2-14-11-2F,113-0031,03-6303-3162,https://hosobe-pediatrics.com/index.html,1,1,1,1,,文京区,13105,根津,2-14-11-2F,,1,,1,,1,1,,9:00~12:30,16:00~18:30,9:00~12:30,16:00~18:30,9:00~12:30,16:00~18:30,,16:00~18:00,9:00~12:30,16:00~18:30,9:00~12:30,14:00~14:30,,,,,根津2-14-11-2F
医療法人社団みやび記念会 足立純心クリニック西伊興1-5-1,医療法人社団みやび記念会 足立純心クリニック,東京都足立区西伊興1-5-1,121-0824,03-5838-2400,,,1,,,,足立区,13121,西伊興,1-5-1,,1,,1,,1,1,,8:30~12:30,14:30~18:30,8:30~12:30,,8:30~12:30,14:30~18:30,,,8:30~12:30,14:30~18:30,8:30~12:30,14:30~18:30,,,,,西伊興1-5-1
医療法人社団榊原厚生会 新宿NSビルクリニック西新宿2-4-1新宿ＮＳビル４階,医療法人社団榊原厚生会 新宿NSビルクリニック,東京都新宿区西新宿2-4-1新宿ＮＳビル４階,163-0804,03-3343-3511,,1,1,,,,新宿区,13104,西新宿,2-4-1新宿ＮＳビル４階,,1,,1,1,,,,,13:30~16:00,,,,,,13:30~16:00,,,,,,,,,西新宿2-4-1新宿ＮＳビル４階
クリニック高島平高島平8-17-8-102,クリニック高島平,東京都板橋区高島平8-17-8-102,175-0082,03-5920-3341,,1,1,,1,1,板橋区,13119,高島平,8-17-8-102,,1,,1,1,1,,,11:45~12:45,16:45~17:45,11:45~12:15,16:45~17:45,,,11:45~12:45,16:45~17:45,,,,13:30~15:30,,,,,高島平8-17-8-102
東京ふれあい医療生活協同組合 ふれあいファミリークリニック宮城１－３３－２０,東京ふれあい医療生活協同組合 ふれあいファミリークリニック,東京都足立区宮城１－３３－２０,120-0047,03-6908-4330,,1,1,1,1,1,足立区,13121,宮城,１－３３－２０,,1,1,1,1,1,1,,9:00~13:30,16:00~17:00,9:00~13:30,16:00~17:00,11:00~12:00,13:00~14:00,9:00~13:30,16:00~17:00,11:00~14:00,16:00~17:00,,,,,なし,,宮城１－３３－２０
医療法人社団なでしこ会 駒沢みみ・はな・のどクリニック駒沢4-18-19,医療法人社団なでしこ会 駒沢みみ・はな・のどクリニック,東京都世田谷区駒沢4-18-19,154-0012,03-5430-4133,,1,1,,1,,世田谷区,13112,駒沢,4-18-19,,1,,1,1,,1,,,13:00~15:00,,13:00~16:00,,13:00~15:00,,,,13:00~16:00,,,,13:00~15:00,,1,駒沢4-18-19
水道橋メディカルクリニック西神田1-4-11サンポウ水道橋ビル301,水道橋メディカルクリニック,東京都千代田区西神田1-4-11サンポウ水道橋ビル301,101-0065,03-3518-6127,,1,1,1,,,千代田区,13101,西神田,1-4-11サンポウ水道橋ビル301,,1,,1,,,1,,,16:00~18:00,,14:00~16:00,,,10:00~12:00,,,16:00~18:00,,,,,,,西神田1-4-11サンポウ水道橋ビル301
医療法人社団祥宏会鈴木医院南砂1-9-9,医療法人社団祥宏会鈴木医院,東京都江東区南砂1-9-9,136-0076,03-3644-0749,,1,1,1,,,江東区,13108,南砂,1-9-9,,1,,1,1,1,1,,11:30~12:00,17:30~18:00,11:30~12:00,,11:30~12:00,,11:30~12:00,17:30~18:00,11:30~12:00,17:30~18:00,,,,,,,南砂1-9-9
つくる整形外科　祐天寺駅前スポーツクリニック祐天寺2-14-20　祐天寺駅前ビル３階,つくる整形外科　祐天寺駅前スポーツクリニック,東京都目黒区祐天寺2-14-20　,153-0052,03-6452-2424,,,1,,,,目黒区,13110,祐天寺,2-14-20　,祐天寺駅前ビル３階,,,1,1,,,,,14:30~15:00,,,,,,14:30~15:00,,,,,,,,,祐天寺2-14-20　祐天寺駅前ビル３階
飯田橋医院揚場町2-13,飯田橋医院,東京都新宿区揚場町2-13,162-0824,03-3235-5151,,1,1,1,1,1,新宿区,13104,揚場町,2-13,,1,,1,1,,1,,9:00~10:00,14:30~15:30,9:00~10:00,,9:00~10:00,14:30~15:30,,,9:00~10:00,14:30~15:30,9:00~10:00,12:00~13:00,,,,,揚場町2-13
いずみクリニック子安町1-11-9,いずみクリニック,東京都八王子市子安町1-11-9,192-0904,042-649-4032,,,1,,,,八王子市,13201,子安町,1-11-9,,1,,1,,1,1,,,,,,,,12:00~14:00,,12:00~14:00,,12:00~14:00,,,,,,子安町1-11-9
医療法人社団桐育会今井医院南街5-36-8,医療法人社団桐育会今井医院,東京都東大和市南街5-36-8,207-0014,0425613753,,,1,,,,東大和市,13220,南街,5-36-8,,,,1,1,,,,10:00~12:00,15:30~18:00,10:00~12:00,15:30~18:00,10:00~12:00,15:30~18:00,,,10:00~12:00,15:30~18:00,10:00~12:00,,,,,,南街5-36-8
玉川上水クリニック柏町4-57-29,玉川上水クリニック,東京都立川市柏町4-57-29,190-0004,042-536-0333,,1,1,,1,1,立川市,13202,柏町,4-57-29,,,,1,1,,,,,,,20:00~22:00,,,11:00~12:30,18:00~22:00,,,,18:30~22:00,,18:00~22:00,,1,柏町4-57-29
